"audit_row","bottle","status","peated_id","skipped_fields","reason","source_urls"
"2321","Macallan x Jordi Roca The Harmony Collection - Rich Cacao","EXISTING — exact identity; data concern recorded","B1834","","Exact marketed expression identified from the source card facts and fresh narrow production searches. The existing Bottle incorrectly carries statedAge 12. Rich Cacao is a no-age-statement release; this identity match does not approve that value. No production write.","https://whiskyauctioneer.com/whisky-lot/5280871/macallan-x-jordi-roca-harmony-collection-rich-cacao | https://whiskyauctioneer.com/whisky-lot/5283456/macallan-x-jordi-roca-harmony-collection-rich-cacao | https://whiskyauctioneer.com/whisky-lot/5280865/macallan-x-jordi-roca-harmony-collection-rich-cacao | https://whiskyauctioneer.com/whisky-lot/5068596/macallan-x-jordi-roca-harmony-collection-rich-cacao | https://whiskyauctioneer.com/whisky-lot/5280869/macallan-x-jordi-roca-harmony-collection-rich-cacao | https://whiskyauctioneer.com/whisky-lot/5271957/macallan-x-jordi-roca-harmony-collection-rich-cacao | https://whiskyauctioneer.com/whisky-lot/5280582/macallan-x-jordi-roca-harmony-collection-rich-cacao | https://whiskyauctioneer.com/whisky-lot/5280867/macallan-x-jordi-roca-harmony-collection-rich-cacao | https://whiskyauctioneer.com/whisky-lot/5280861/macallan-x-jordi-roca-harmony-collection-rich-cacao | https://whiskyauctioneer.com/whisky-lot/5280863/macallan-x-jordi-roca-harmony-collection-rich-cacao | https://whiskyauctioneer.com/whisky-lot/5283920/macallan-x-jordi-roca-harmony-collection-rich-cacao"
"2322","Bruichladdich Greener Still 15 Year Old","EXISTING — exact bottle verified; no changes","B47421","","Exact marketed expression identified from the source title, source card facts and fresh production search. The release-defining age, vintage, edition, cask code, release year and/or ABV agree where those facts are present. No production write.","https://whiskyauctioneer.com/whisky-lot/5283930/bruichladdich-greener-still-15-year-old | https://whiskyauctioneer.com/whisky-lot/5283891/bruichladdich-greener-still-15-year-old | https://whiskyauctioneer.com/whisky-lot/5283876/bruichladdich-greener-still-15-year-old | https://whiskyauctioneer.com/whisky-lot/5283873/bruichladdich-greener-still-15-year-old | https://whiskyauctioneer.com/whisky-lot/7043833/bruichladdich-greener-still-15-year-old | https://whiskyauctioneer.com/whisky-lot/7043832/bruichladdich-greener-still-15-year-old | https://whiskyauctioneer.com/whisky-lot/5283889/bruichladdich-greener-still-15-year-old | https://whiskyauctioneer.com/whisky-lot/7043834/bruichladdich-greener-still-15-year-old"
"2323","Glendronach Allardice 18 Year Old","EXISTING — exact bottle verified; no changes","B4902","","Exact marketed expression identified from the source title, source card facts and fresh production search. The release-defining age, vintage, edition, cask code, release year and/or ABV agree where those facts are present. No production write.","https://whiskyauctioneer.com/whisky-lot/5271944/glendronach-allardice-18-year-old | https://whiskyauctioneer.com/whisky-lot/8213862/glendronach-allardice-18-year-old | https://whiskyauctioneer.com/whisky-lot/8213861/glendronach-allardice-18-year-old | https://whiskyauctioneer.com/whisky-lot/5280713/glendronach-allardice-18-year-old | https://whiskyauctioneer.com/whisky-lot/5280719/glendronach-allardice-18-year-old | https://whiskyauctioneer.com/whisky-lot/5271946/glendronach-allardice-18-year-old | https://whiskyauctioneer.com/whisky-lot/5271945/glendronach-allardice-18-year-old"
"2324","Hibiki 12 Year Old Travel Exclusive","EXISTING — exact bottle verified; no changes","B51889","","Exact marketed expression identified from the source title, source card facts and fresh production search. The release-defining age, vintage, edition, cask code, release year and/or ABV agree where those facts are present. No production write.","https://whiskyauctioneer.com/whisky-lot/8213245/hibiki-12-year-old-travel-exclusive | https://whiskyauctioneer.com/whisky-lot/8213244/hibiki-12-year-old-travel-exclusive | https://whiskyauctioneer.com/whisky-lot/8214064/hibiki-12-year-old-travel-exclusive | https://whiskyauctioneer.com/whisky-lot/8214063/hibiki-12-year-old-travel-exclusive | https://whiskyauctioneer.com/whisky-lot/8214061/hibiki-12-year-old-travel-exclusive | https://whiskyauctioneer.com/whisky-lot/8212673a/hibiki-12-year-old-travel-exclusive | https://whiskyauctioneer.com/whisky-lot/8214062/hibiki-12-year-old-travel-exclusive"
"2325","Lagavulin 12 Year Old Natural Cask Strength","EXISTING SET — collapsed source variants resolved; no changes","Bnull","","Exact marketed expression identified from the source card facts and fresh narrow production searches. The source row collapsed four distinct annual Special Releases: 2004 at 58.2%, 2006 at 57.5%, 2009 at 57.9%, and 2013 at 55.1%. Each exact release already exists, so no new Bottle is required. No production write.","https://whiskyauctioneer.com/whisky-lot/8213944/lagavulin-12-year-old-natural-cask-strength | https://whiskyauctioneer.com/whisky-lot/7043569/lagavulin-12-year-old-natural-cask-strength | https://whiskyauctioneer.com/whisky-lot/7043554/lagavulin-12-year-old-natural-cask-strength | https://whiskyauctioneer.com/whisky-lot/7043555/lagavulin-12-year-old-natural-cask-strength | https://whiskyauctioneer.com/whisky-lot/8212845/lagavulin-12-year-old-natural-cask-strength | https://whiskyauctioneer.com/whisky-lot/7043553/lagavulin-12-year-old-natural-cask-strength | https://whiskyauctioneer.com/whisky-lot/7043567/lagavulin-12-year-old-natural-cask-strength"
"2326","Lagavulin 12 Year Old Natural Cask Strength 200th Anniversary","EXISTING — exact Bottle verified; no changes","B3560","","Targeted fresh GET and source-label facts establish the exact release identity. Release-defining age, vintage, edition, release year and/or ABV agree where present. No production write.","https://whiskyauctioneer.com/whisky-lot/8208886/lagavulin-12-year-old-natural-cask-strength-200th-anniversary | https://whiskyauctioneer.com/whisky-lot/8208901/lagavulin-12-year-old-natural-cask-strength-200th-anniversary | https://whiskyauctioneer.com/whisky-lot/8208899/lagavulin-12-year-old-natural-cask-strength-200th-anniversary | https://whiskyauctioneer.com/whisky-lot/8213943/lagavulin-12-year-old-natural-cask-strength-200th-anniversary | https://whiskyauctioneer.com/whisky-lot/8208885/lagavulin-12-year-old-natural-cask-strength-200th-anniversary | https://whiskyauctioneer.com/whisky-lot/8208887/lagavulin-12-year-old-natural-cask-strength-200th-anniversary | https://whiskyauctioneer.com/whisky-lot/8208900/lagavulin-12-year-old-natural-cask-strength-200th-anniversary"
"2327","Macallan The Archival Series Folio 5","EXISTING — exact identity; data concern recorded","B2554","","Exact marketed expression identified from the source title, source card facts and fresh production search. The existing Bottle has statedAge 12, but the Folio 5 source is a no-age-statement release. This identity match does not approve that existing age value.","https://whiskyauctioneer.com/whisky-lot/5282420/macallan-archival-series-folio-5 | https://whiskyauctioneer.com/whisky-lot/8214208/macallan-archival-series-folio-5 | https://whiskyauctioneer.com/whisky-lot/8213968/macallan-archival-series-folio-5 | https://whiskyauctioneer.com/whisky-lot/8205683/macallan-archival-series-folio-5 | https://whiskyauctioneer.com/whisky-lot/5282425/macallan-archival-series-folio-5 | https://whiskyauctioneer.com/whisky-lot/5280653/macallan-archival-series-folio-5 | https://whiskyauctioneer.com/whisky-lot/8212803/macallan-archival-series-folio-5"
"2328","Ardbeg 8 Year Old - For Discussion","EXISTING — exact bottle verified; no changes","B46094","","Exact marketed expression identified from the source title, source card facts and fresh production search. The release-defining age, vintage, edition, cask code, release year and/or ABV agree where those facts are present. No production write.","https://whiskyauctioneer.com/whisky-lot/5283376/ardbeg-8-year-old-discussion | https://whiskyauctioneer.com/whisky-lot/5283339/ardbeg-8-year-old-discussion | https://whiskyauctioneer.com/whisky-lot/5283378/ardbeg-8-year-old-discussion | https://whiskyauctioneer.com/whisky-lot/5283374/ardbeg-8-year-old-discussion | https://whiskyauctioneer.com/whisky-lot/8212995/ardbeg-8-year-old-discussion | https://whiskyauctioneer.com/whisky-lot/5283340/ardbeg-8-year-old-discussion"
"2329","Macallan Edition No.6","EXISTING — exact identity; data concern recorded","B2175","","Exact marketed expression identified from the source card facts and fresh narrow production searches. The existing Bottle incorrectly carries statedAge 10. Edition No. 6 is a no-age-statement release; this identity match does not approve that value. No production write.","https://whiskyauctioneer.com/product/1304851/variation/5281043 | https://whiskyauctioneer.com/whisky-lot/8213134/macallan-edition-no6 | https://whiskyauctioneer.com/whisky-lot/5281204/macallan-edition-no6 | https://whiskyauctioneer.com/whisky-lot/8213901/macallan-edition-no6 | https://whiskyauctioneer.com/whisky-lot/5280198/macallan-edition-no6 | https://whiskyauctioneer.com/whisky-lot/5280200/macallan-edition-no6"
"2330","Bruichladdich Yellow Submarine [Reclassified] 14 Year Old","EXISTING — exact bottle verified; no changes","B47503","","Exact marketed expression identified from the source title, source card facts and fresh production search. The release-defining age, vintage, edition, cask code, release year and/or ABV agree where those facts are present. No production write.","https://whiskyauctioneer.com/whisky-lot/7043827/bruichladdich-yellow-submarine-reclassified-14-year-old | https://whiskyauctioneer.com/whisky-lot/7043826/bruichladdich-yellow-submarine-reclassified-14-year-old | https://whiskyauctioneer.com/whisky-lot/5280634/bruichladdich-yellow-submarine-reclassified-14-year-old | https://whiskyauctioneer.com/whisky-lot/8213101/bruichladdich-yellow-submarine-reclassified-14-year-old"
"2331","The Macallan Sherry Oak","ADDED — optional facts left blank","B52823","caskStrength | nonChillFiltered | maltPhenolPpm | vintageYear | bottlingYear | releaseMonth | releaseDay | caskNumber | outturn","Exact release date, bottling year, cask-strength and filtration claims, cask numbers, outturn, malt phenol PPM and flavor profile remain unknown.","https://whiskyauctioneer.com/whisky-lot/7043949/macallan-18-year-old-sherry-oak-cask-annual-2022-release | https://www.themacallan.com/en-us/sherry-oak-18-years-old-2022-release | https://figee.vgskopje.ch/en/download-pdf/WM18SH.22"
"2332","Macallan Fine Oak 12 Year Old","EXISTING — exact bottle verified; no changes","B2167","","Exact marketed expression identified from the source title, source card facts and fresh production search. The release-defining age, vintage, edition, cask code, release year and/or ABV agree where those facts are present. No production write.","https://whiskyauctioneer.com/whisky-lot/5283416/macallan-fine-oak-12-year-old | https://whiskyauctioneer.com/whisky-lot/8212862/macallan-fine-oak-12-year-old | https://whiskyauctioneer.com/whisky-lot/5283415/macallan-fine-oak-12-year-old | https://whiskyauctioneer.com/whisky-lot/5283417/macallan-fine-oak-12-year-old"
"2333","Macallan Fine Oak 21 Year Old","EXISTING — exact bottle verified; no changes","B4679","","Exact marketed expression identified from the source title, source card facts and fresh production search. The release-defining age, vintage, edition, cask code, release year and/or ABV agree where those facts are present. No production write.","https://whiskyauctioneer.com/whisky-lot/8212664/macallan-fine-oak-21-year-old | https://whiskyauctioneer.com/whisky-lot/5280242/macallan-fine-oak-21-year-old | https://whiskyauctioneer.com/whisky-lot/5283448/macallan-fine-oak-21-year-old | https://whiskyauctioneer.com/whisky-lot/5283180/macallan-fine-oak-21-year-old"
"2334","Port Charlotte 2007 CC:01","EXISTING — exact identity; data concern recorded","B871","","Exact marketed expression identified from the source title, source card facts and fresh production search. B16029 also appears to duplicate this expression. Reuse the older, more complete B871; do not create another Bottle or merge records in this run.","https://whiskyauctioneer.com/whisky-lot/8212766/port-charlotte-2007-cc01 | https://whiskyauctioneer.com/whisky-lot/8213756/port-charlotte-2007-cc01 | https://whiskyauctioneer.com/whisky-lot/7043547/port-charlotte-2007-cc01 | https://whiskyauctioneer.com/whisky-lot/7043546/port-charlotte-2007-cc01"
"2335","Ardnamurchan AD/ Paul Launois Release","EXISTING — exact bottle verified; no changes","B47410","","Exact marketed expression identified from the source card facts and fresh narrow production search. Release-defining age, vintage, edition, cask code, release year and/or ABV agree where present. No production write.","https://whiskyauctioneer.com/whisky-lot/5271987/ardnamurchan-ad-paul-launois-release | https://whiskyauctioneer.com/whisky-lot/7043061/ardnamurchan-ad-paul-launois-release | https://whiskyauctioneer.com/whisky-lot/5283877/ardnamurchan-ad-paul-launois-release"
"2336","The Balvenie Single Barrel Traditional Oak","ADDED — optional facts left blank","B52836","caskStrength | naturalColor | nonChillFiltered | maltPhenolPpm | releaseMonth | releaseDay | outturn","Release date, cask-strength, color and filtration claims, exact outturn, malt phenol PPM and flavor profile remain unknown. Bottle number is an item attribute, not an editable Bottle field.","https://whiskyauctioneer.com/whisky-lot/8214032/balvenie-1978-single-barrel-25-year-old | https://www.whisky.com/whisky-database/details/balvenie-single-barrel-4.html"
"2336","The Balvenie Single Barrel Traditional Oak","ADDED — optional facts left blank","B52837","caskStrength | naturalColor | nonChillFiltered | maltPhenolPpm | releaseMonth | releaseDay | outturn","Release date, cask-strength, color and filtration claims, exact outturn, malt phenol PPM and flavor profile remain unknown. Bottle number is an item attribute, not an editable Bottle field.","https://whiskyauctioneer.com/whisky-lot/5271935/balvenie-1978-single-barrel-25-year-old"
"2337","Bowmore Tempest 10 Year Old Small Batch Release No.2","EXISTING — exact identity; data concern recorded","B4748","","Exact marketed expression identified from the source card facts and fresh narrow production searches. B17377 appears to duplicate this release. Reuse B4748; do not create or merge records in this run. No production write.","https://whiskyauctioneer.com/whisky-lot/8213923/bowmore-tempest-10-year-old-small-batch-release-no2 | https://whiskyauctioneer.com/whisky-lot/5283992/bowmore-tempest-10-year-old-small-batch-release-no2 | https://whiskyauctioneer.com/whisky-lot/5283996/bowmore-tempest-10-year-old-small-batch-release-no2"
"2338","Brora 1975 Rare Malts Selection 20 Year Old","EXISTING — exact bottle verified; no changes","B49670","","Exact marketed expression identified from the source title, source card facts and fresh production search. The release-defining age, vintage, edition, cask code, release year and/or ABV agree where those facts are present. No production write.","https://whiskyauctioneer.com/whisky-lot/8213283/brora-1975-rare-malts-selection-20-year-old | https://whiskyauctioneer.com/whisky-lot/8213284/brora-1975-rare-malts-selection-20-year-old | https://whiskyauctioneer.com/whisky-lot/5280616/brora-1975-rare-malts-selection-20-year-old"
"2339","Brora 30 Year Old Natural Cask Strength","EXISTING SET — collapsed source variants resolved; no changes","Bnull","","Exact marketed expression identified from the source card facts and fresh narrow production searches. The source row collapsed the 2002 inaugural 52.4% release and the 2010 54.3% release. Both exact releases already exist. No production write.","https://whiskyauctioneer.com/whisky-lot/5281163/brora-30-year-old-natural-cask-strength | https://whiskyauctioneer.com/whisky-lot/7043593/brora-30-year-old-natural-cask-strength | https://whiskyauctioneer.com/whisky-lot/7043591/brora-30-year-old-natural-cask-strength"
"2340","Glendronach Parliament 21 Year Old","EXISTING — exact bottle verified; no changes","B14436","","Exact marketed expression identified from the source title, source card facts and fresh production search. The release-defining age, vintage, edition, cask code, release year and/or ABV agree where those facts are present. No production write.","https://whiskyauctioneer.com/whisky-lot/5280860/glendronach-parliament-21-year-old | https://whiskyauctioneer.com/whisky-lot/8213860/glendronach-parliament-21-year-old | https://whiskyauctioneer.com/whisky-lot/5280892/glendronach-parliament-21-year-old"
"2341","Glenfiddich Special Reserve","EXISTING — exact bottle verified; no changes","B5164","","Exact marketed expression identified from the source title, source card facts and fresh production search. The release-defining age, vintage, edition, cask code, release year and/or ABV agree where those facts are present. No production write.","https://whiskyauctioneer.com/whisky-lot/5274359a/glenfiddich-12-year-old-special-reserve-0 | https://whiskyauctioneer.com/whisky-lot/5280185/glenfiddich-special-reserve | https://whiskyauctioneer.com/whisky-lot/5280971/glenfiddich-special-reserve"
"2342","Glenfiddich Special Reserve 12 Year Old","EXISTING — exact bottle verified; no changes","B5164","","Exact marketed expression identified from the source title, source card facts and fresh production search. The release-defining age, vintage, edition, cask code, release year and/or ABV agree where those facts are present. No production write.","https://whiskyauctioneer.com/whisky-lot/5280733/glenfiddich-12-year-old-special-reserve-0 | https://whiskyauctioneer.com/whisky-lot/8209935a/glenfiddich-special-reserve-12-year-old | https://whiskyauctioneer.com/whisky-lot/8214109/glenfiddich-special-reserve-12-year-old"
"2343","Glenmorangie Cellar 13 Litre","EXISTING — exact bottle verified; no changes","B1220","","Exact marketed expression identified from the source card facts and fresh narrow production search. Release-defining age, vintage, edition, cask code, release year and/or ABV agree where present. No production write.","https://whiskyauctioneer.com/whisky-lot/8212702/glenmorangie-cellar-13-litre | https://whiskyauctioneer.com/whisky-lot/8212703/glenmorangie-cellar-13-litre | https://whiskyauctioneer.com/whisky-lot/8212704/glenmorangie-cellar-13-litre"
"2344","Hibiki Japanese Harmony - Ryusui-Hyakka 2021","ADDED — optional facts left blank","B52826","statedAge | caskStrength | naturalColor | nonChillFiltered | maltPhenolPpm | vintageYear | bottlingYear | releaseMonth | releaseDay | caskNumber | outturn","Exact release date, bottling year, detailed cask recipe, color and filtration claims, cask numbers, outturn, malt phenol PPM and flavor profile remain unknown.","https://whiskyauctioneer.com/whisky-lot/8212027/hibiki-japanese-harmony-ryusui-hyakka | https://www.whiskyshop.com/auctions/a39846-hibiki-japanese-harmony-ryusui-hyakka-2021-release"
"2345","Macallan 1979 Gran Reserva 18 Year Old","EXISTING — exact bottle verified; no changes","B5434","","Exact marketed expression identified from the source card facts and fresh narrow production search. Release-defining age, vintage, edition, cask code, release year and/or ABV agree where present. No production write.","https://whiskyauctioneer.com/whisky-lot/5281337/macallan-1979-gran-reserva-18-year-old | https://whiskyauctioneer.com/whisky-lot/5280573/macallan-1979-gran-reserva-18-year-old | https://whiskyauctioneer.com/whisky-lot/5283688/macallan-1979-gran-reserva-18-year-old"
"2346","The Macallan Gran Reserva","ADDED — optional facts left blank","B52831","caskStrength | naturalColor | nonChillFiltered | maltPhenolPpm | releaseMonth | releaseDay | caskNumber | outturn","Exact bottling and release dates, color and filtration claims, cask numbers, outturn, malt phenol PPM and flavor profile remain unknown.","https://whiskyauctioneer.com/whisky-lot/5280572/macallan-1980-gran-reserva-18-year-old | https://www.thewhiskyexchange.com/p/3626/macallan-1980-18-year-old-gran-reserva-bot1999 | https://onlineonly.christies.com/s/gentleman-watches-whiskies-accessories/macallan-gran-reserva-18-year-old-1980-29/88796"
"2347","Macallan 2007 Diamonds Are Forever 18 Year Old - 55th Anniversary Release","EXISTING — exact bottle verified; no changes","B45446","","Exact marketed expression identified from the source title, source card facts and fresh production search. The release-defining age, vintage, edition, cask code, release year and/or ABV agree where those facts are present. No production write.","https://whiskyauctioneer.com/whisky-lot/8212000/macallan-2007-diamonds-are-forever-18-year-old-55th-anniversary-release | https://whiskyauctioneer.com/whisky-lot/5266272a/macallan-2007-diamonds-are-forever-18-year-old-55th-anniversary-release | https://whiskyauctioneer.com/whisky-lot/8213575/macallan-2007-diamonds-are-forever-18-year-old-55th-anniversary-release"
"2348","Macallan 30 Year Old Double Cask Annual 2021 Release","EXISTING — exact bottle verified; no changes","B45105","","Exact marketed expression identified from the source card facts and fresh narrow production search. Release-defining age, vintage, edition, cask code, release year and/or ABV agree where present. No production write.","https://whiskyauctioneer.com/whisky-lot/8213460/macallan-30-year-old-double-cask-annual-2021-release | https://whiskyauctioneer.com/whisky-lot/8213461/macallan-30-year-old-double-cask-annual-2021-release | https://whiskyauctioneer.com/whisky-lot/5281355/macallan-30-year-old-double-cask-annual-2021-release"
"2349","Macallan Concept Number 1 - Art","EXISTING — exact bottle verified; no changes","B722","","Exact marketed expression identified from the source card facts and fresh narrow production search. Release-defining age, vintage, edition, cask code, release year and/or ABV agree where present. No production write.","https://whiskyauctioneer.com/whisky-lot/5283458/macallan-concept-number-1-art | https://whiskyauctioneer.com/whisky-lot/5280605/macallan-concept-number-1-art | https://whiskyauctioneer.com/whisky-lot/5281427/macallan-concept-number-1-art"
"2350","Macallan Fine Oak 25 Year Old","EXISTING — exact bottle verified; no changes","B5015","","Exact marketed expression identified from the source title, source card facts and fresh production search. The release-defining age, vintage, edition, cask code, release year and/or ABV agree where those facts are present. No production write.","https://whiskyauctioneer.com/whisky-lot/5281316/macallan-fine-oak-25-year-old | https://whiskyauctioneer.com/whisky-lot/5283757/macallan-fine-oak-25-year-old | https://whiskyauctioneer.com/whisky-lot/8213774/macallan-fine-oak-25-year-old"
"2351","Macallan Gran Reserva 12 Year Old","EXISTING — exact bottle verified; no changes","B5099","","Exact marketed expression identified from the source title, source card facts and fresh production search. The release-defining age, vintage, edition, cask code, release year and/or ABV agree where those facts are present. No production write.","https://whiskyauctioneer.com/whisky-lot/5280570/macallan-gran-reserva-12-year-old | https://whiskyauctioneer.com/whisky-lot/5280535/macallan-gran-reserva-12-year-old | https://whiskyauctioneer.com/whisky-lot/5280534/macallan-gran-reserva-12-year-old"
"2352","Port Ellen 1978 Natural Cask Strength 24 Year Old - 2nd Release","EXISTING — exact bottle verified; no changes","B5336","","Exact marketed expression identified from the source card facts and fresh narrow production search. Release-defining age, vintage, edition, cask code, release year and/or ABV agree where present. No production write.","https://whiskyauctioneer.com/whisky-lot/8209095a/port-ellen-1978-natural-cask-strength-24-year-old-2nd-release | https://whiskyauctioneer.com/whisky-lot/8213333/port-ellen-1978-natural-cask-strength-24-year-old-2nd-release | https://whiskyauctioneer.com/whisky-lot/5283674/port-ellen-1978-natural-cask-strength-24-year-old-2nd-release"
"2353","Springbank Society","ADDED — optional facts left blank","B52832","caskStrength | naturalColor | nonChillFiltered | maltPhenolPpm | releaseDay | caskNumber","Exact distillation and bottling days, cask-strength, color and filtration claims, cask numbers, malt phenol PPM and flavor profile remain unknown.","https://whiskyauctioneer.com/whisky-lot/5281100/springbank-1997-springbank-society-28-year-old | https://www.springbank.scot/springbank-society-swedish-member-form-sb-28yo-35cl/"
"2354","Springbank Local Barley","ADDED — optional facts left blank","B52833","caskStrength | naturalColor | nonChillFiltered | maltPhenolPpm | releaseDay | caskNumber","Exact distillation and bottling days, cask-strength, color and filtration claims, cask numbers, malt phenol PPM and flavor profile remain unknown.","https://whiskyauctioneer.com/whisky-lot/8210214/springbank-2011-local-barley-10-year-old | https://www.whiskyshop.com/auctions/a61772-springbank-2011-10-year-old-local-barley | https://www.wvawhiskyauctions.co.uk/lot-621513/springbank-10-year-old-local-barley-2021"
"2355","Waterford Single Farm Origin Lakefield Edition 1.1","EXISTING — exact bottle verified; no changes","B1907","","Exact marketed expression identified from the source title, source card facts and fresh production search. The release-defining age, vintage, edition, cask code, release year and/or ABV agree where those facts are present. No production write.","https://whiskyauctioneer.com/whisky-lot/7043965/waterford-single-farm-origin-lakefield-edition-11 | https://whiskyauctioneer.com/whisky-lot/7043969/waterford-single-farm-origin-lakefield-edition-11 | https://whiskyauctioneer.com/whisky-lot/5280815/waterford-single-farm-origin-lakefield-edition-11"
"2356","Ardbeg 1990 Airigh Nam Beist","EXISTING — identity resolved; catalog concern recorded","Bnull","","Targeted fresh GETs and source-label facts establish the identity. B1170 and B18251 appear to duplicate the Airigh Nam Beist expression. B18251 carries the exact 1990 vintage but misspells Airigh; B1170 has the correct marketed name but omits the vintage, 2008 bottling year and 46% ABV. Reuse the existing records and do not add a third duplicate. No production write.","https://whiskyauctioneer.com/whisky-lot/5280944/ardbeg-1990-airigh-nam-beist | https://whiskyauctioneer.com/whisky-lot/7043568/ardbeg-1990-airigh-nam-beist"
"2357","Ardbeg Supernova SN2015","EXISTING — exact bottle verified; no changes","B45003","","Exact marketed expression identified from the source card facts and fresh narrow production search. Release-defining age, vintage, edition, cask code, release year and/or ABV agree where present. No production write.","https://whiskyauctioneer.com/whisky-lot/5283956/ardbeg-supernova-sn2015 | https://whiskyauctioneer.com/whisky-lot/5283953/ardbeg-supernova-sn2015"
"2358","Ardnahoe Inaugural Release 5 Year Old","EXISTING — exact bottle verified; no changes","B47607","","Exact marketed expression identified from the source title, source card facts and fresh production search. The release-defining age, vintage, edition, cask code, release year and/or ABV agree where those facts are present. No production write.","https://whiskyauctioneer.com/whisky-lot/5283895/ardnahoe-inaugural-release-5-year-old | https://whiskyauctioneer.com/whisky-lot/5283897/ardnahoe-inaugural-release-5-year-old"
"2359","Arran Brodick Bay 20 Year Old The Explorers Series - Volume One","EXISTING — exact identity; data concern recorded","B2651","","Exact marketed expression identified from the source card facts and fresh narrow production searches. B43339 appears to duplicate the same Brodick Bay release. Reuse the series-specific B2651; do not create or merge records in this run. No production write.","https://whiskyauctioneer.com/whisky-lot/5280809/arran-brodick-bay-20-year-old-explorers-series-volume-one | https://whiskyauctioneer.com/whisky-lot/8213266/arran-brodick-bay-20-year-old-explorers-series-volume-one"
"2360","Arran Lochranza Castle 21 Year Old The Explorers Series - Volume Two","EXISTING — exact bottle verified; no changes","B2307","","Exact marketed expression identified from the source card facts and fresh narrow production search. Release-defining age, vintage, edition, cask code, release year and/or ABV agree where present. No production write.","https://whiskyauctioneer.com/whisky-lot/8213263/arran-lochranza-castle-21-year-old-explorers-series-volume-two | https://whiskyauctioneer.com/whisky-lot/8214034/arran-lochranza-castle-21-year-old-explorers-series-volume-two"
"2361","Arran Millennium Casks 13 Year Old","EXISTING — exact identity; data concern recorded","B976","","Exact marketed expression identified from the source card facts and fresh narrow production searches. B16754 appears to duplicate the same Millennium Casks release. Reuse the age-specific B976; do not create or merge records in this run. No production write.","https://whiskyauctioneer.com/whisky-lot/7043681/arran-millennium-casks-13-year-old | https://whiskyauctioneer.com/whisky-lot/7043682/arran-millennium-casks-13-year-old"
"2362","Auchroisk 1997 SMWS 18 Year Old 95.20 - Glazed cocktail sausages","EXISTING — exact bottle verified; no changes","B51214","","Exact marketed expression identified from the source title, source card facts and fresh production search. The release-defining age, vintage, edition, cask code, release year and/or ABV agree where those facts are present. No production write.","https://whiskyauctioneer.com/whisky-lot/5283703/auchroisk-1997-smws-18-year-old-9520-glazed-cocktail-sausages | https://whiskyauctioneer.com/whisky-lot/5283708/auchroisk-1997-smws-18-year-old-9520-glazed-cocktail-sausages"
"2363","Aultmore 2013 Cask Series 026 12 Year Old","EXISTING — exact Bottle verified; no changes","B46898","","Targeted fresh GET and source-label facts establish the exact release identity. Release-defining age, vintage, edition, release year and/or ABV agree where present. No production write.","https://whiskyauctioneer.com/whisky-lot/8211784/aultmore-2013-cask-series-026-12-year-old | https://whiskyauctioneer.com/whisky-lot/8211781/aultmore-2013-cask-series-026-12-year-old"
"2364","Balvenie Founder's Reserve 10 Year Old","EXISTING — exact Bottle verified; no changes","B5048","","Targeted fresh GET and source-label facts establish the exact release identity. Release-defining age, vintage, edition, release year and/or ABV agree where present. No production write.","https://whiskyauctioneer.com/whisky-lot/5280728/balvenie-founders-reserve-10-year-old-0 | https://whiskyauctioneer.com/whisky-lot/5283349/balvenie-founders-reserve-10-year-old"
"2365","The Balvenie Single Barrel Sherry Cask","ADDED — optional facts left blank","B52834","caskStrength | naturalColor | maltPhenolPpm | vintageYear | bottlingYear | releaseYear | releaseMonth | releaseDay | outturn","Vintage and bottling dates, release date, cask-strength and color claims, exact outturn, malt phenol PPM and flavor profile remain unknown. The label states a maximum rather than an exact outturn, so outturn remains null.","https://whiskyauctioneer.com/whisky-lot/8213961/balvenie-single-barrel-15-year-old-sherry-cask"
"2365","The Balvenie Single Barrel Sherry Cask","ADDED — optional facts left blank","B52835","caskStrength | naturalColor | maltPhenolPpm | vintageYear | bottlingYear | releaseYear | releaseMonth | releaseDay | outturn","Vintage and bottling dates, release date, cask-strength and color claims, exact outturn, malt phenol PPM and flavor profile remain unknown. The label states a maximum rather than an exact outturn, so outturn remains null.","https://whiskyauctioneer.com/whisky-lot/8213962/balvenie-single-barrel-15-year-old-sherry-cask | https://www.tyndrumwhisky.com/balvenie-15yo-single-barrel-sherry-cask-5779.html"
"2366","Ben Nevis 1997 Jens Drewitz' Personal Choice 28 Year Old - No.11","EXISTING — exact bottle verified; no changes","B51520","","Exact marketed expression identified from the source card facts and fresh narrow production search. Release-defining age, vintage, edition, cask code, release year and/or ABV agree where present. No production write.","https://whiskyauctioneer.com/whisky-lot/8211756/ben-nevis-1997-jens-drewitz-personal-choice-28-year-old-no11 | https://whiskyauctioneer.com/whisky-lot/8211751/ben-nevis-1997-jens-drewitz-personal-choice-28-year-old-no11"
